Feature,Importance,Feature family
PLV_Alpha_C2_O2,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_PO4,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_PO8,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_P10,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_P8,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_P6,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_P4,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_F6,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_Pz,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_CP2,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_CP4,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_CP6,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_TP8,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_T8,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_C6,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_C4,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_O2,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_PO4,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_PO8,0.0,Functional connectivity / synchrony
PLV_Alpha_C2_P2,0.0,Functional connectivity / synchrony
PLV_Alpha_C6_P4,0.0,Functional connectivity / synchrony
PLV_Alpha_C6_P2,0.0,Functional connectivity / synchrony
PLV_Alpha_C6_CP2,0.0,Functional connectivity / synchrony
PLV_Alpha_C6_CP4,0.0,Functional connectivity / synchrony
PLV_Alpha_C6_CP6,0.0,Functional connectivity / synchrony
PLV_Alpha_C6_TP8,0.0,Functional connectivity / synchrony
PLV_Alpha_C6_T8,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_O2,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_F2,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_PO4,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_T8,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_P10,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_P8,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_F4,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_P6,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_P4,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_P2,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_CP2,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_CP4,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_CP6,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_TP8,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_PO8,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_P2,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_CP2,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_CP4,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_CP6,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_TP8,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_T8,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_C6,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_C4,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_C2,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_Cz,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_F8,0.0,Functional connectivity / synchrony
PLV_Alpha_FC2_PO4,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_FC4,0.0,Functional connectivity / synchrony
PLV_Alpha_FC2_PO8,0.0,Functional connectivity / synchrony
PLV_Alpha_FC2_P10,0.0,Functional connectivity / synchrony
PLV_Alpha_FC2_P8,0.0,Functional connectivity / synchrony
PLV_Alpha_FC2_P6,0.0,Functional connectivity / synchrony
PLV_Alpha_FC2_CP4,0.0,Functional connectivity / synchrony
PLV_Alpha_FC2_P4,0.0,Functional connectivity / synchrony
PLV_Alpha_FC2_P2,0.0,Functional connectivity / synchrony
PLV_Alpha_FC2_CP2,0.0,Functional connectivity / synchrony
PLV_Alpha_FC2_O2,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_P10,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_P8,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_P6,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_P4,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_P2,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_CP2,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_CP4,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_CP6,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_TP8,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_T8,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_P4,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_C4,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_C2,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_O2,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_PO4,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_PO8,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_P10,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_P8,0.0,Functional connectivity / synchrony
PLV_Alpha_FCz_P6,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_FT8,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_FC6,0.0,Functional connectivity / synchrony
PLV_Alpha_Cz_C6,0.0,Functional connectivity / synchrony
PLV_Alpha_P2_P10,0.0,Functional connectivity / synchrony
PLV_Alpha_P2_P8,0.0,Functional connectivity / synchrony
PLV_Alpha_P2_P6,0.0,Functional connectivity / synchrony
PLV_Alpha_P2_P4,0.0,Functional connectivity / synchrony
PLV_Alpha_CP2_O2,0.0,Functional connectivity / synchrony
PLV_Alpha_CP2_PO4,0.0,Functional connectivity / synchrony
PLV_Alpha_CP2_PO8,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_Fpz,0.0,Functional connectivity / synchrony
